,timestamp,v,c,t,soc
0,1734279486574,4.19,1127.027027027027,32.05230007956851,99.97940374585112
1,1734279487574,4.19,1127.027027027027,32.05230007956851,99.95880749170223
2,1734279488574,4.19,1127.027027027027,32.05230007956851,99.93821123755335
3,1734279489574,4.19,1127.027027027027,32.05230007956851,99.91761498340446
4,1734279490575,4.19,1127.027027027027,32.05230007956851,99.89701872925558
5,1734279491574,4.19,2154.054054054054,32.05230007956851,99.85765370633791
6,1734279492574,4.170000000000001,2154.054054054054,32.05230007956851,99.81828868342026
7,1734279493574,4.170000000000001,2154.054054054054,32.05230007956851,99.77892366050261
8,1734279494575,4.170000000000001,2154.054054054054,32.05230007956851,99.73955863758495
9,1734279495575,4.170000000000001,2154.054054054054,32.05230007956851,99.7001936146673
10,1734279496576,4.170000000000001,2154.054054054054,32.05230007956851,99.66082859174965
11,1734279497576,4.170000000000001,2181.0810810810813,32.05230007956851,99.62096965386439
12,1734279498577,4.170000000000001,2181.0810810810813,32.05230007956851,99.58111071597914
13,1734279499578,4.170000000000001,2154.054054054054,32.05230007956851,99.54174569306149
14,1734279500577,4.170000000000001,2154.054054054054,32.05230007956851,99.50238067014382
15,1734279501578,4.170000000000001,2181.0810810810813,32.05230007956851,99.46252173225858
16,1734279502577,4.13,2181.0810810810813,32.05230007956851,99.42266279437332
17,1734279503578,4.13,2181.0810810810813,32.05230007956851,99.38280385648807
18,1734279504578,4.13,2181.0810810810813,32.05230007956851,99.34294491860281
19,1734279505578,4.13,2154.054054054054,32.05230007956851,99.30357989568516
20,1734279506578,4.13,2154.054054054054,32.05230007956851,99.26421487276751
21,1734279507578,4.13,2154.054054054054,32.05230007956851,99.22484984984985
22,1734279508579,4.13,2154.054054054054,32.05230007956851,99.1854848269322
23,1734279509579,4.13,2181.0810810810813,32.05230007956851,99.14562588904694
24,1734279510580,4.13,2181.0810810810813,32.05230007956851,99.10576695116168
25,1734279511580,4.13,2154.054054054054,32.05230007956851,99.06640192824403
26,1734279512579,4.11,2154.054054054054,32.05230007956851,99.02703690532638
27,1734279513579,4.11,2154.054054054054,32.16026469176205,98.98767188240872
28,1734279514580,4.11,2154.054054054054,32.26880263412983,98.94830685949107
29,1734279515579,4.11,2154.054054054054,32.16026469176205,98.90894183657342
30,1734279516580,4.11,2154.054054054054,32.37791964209913,98.86957681365575
31,1734279517580,4.11,2154.054054054054,32.16026469176205,98.8302117907381
32,1734279518580,4.11,2154.054054054054,32.26880263412983,98.79084676782045
33,1734279519580,4.11,2154.054054054054,32.26880263412983,98.7514817449028
34,1734279520580,4.11,2154.054054054054,32.16026469176205,98.71211672198514
35,1734279521580,4.11,2181.0810810810813,32.16026469176205,98.67225778409988
36,1734279522580,4.090000000000001,2181.0810810810813,32.26880263412983,98.63239884621464
37,1734279523581,4.090000000000001,2181.0810810810813,32.37791964209913,98.59253990832939
38,1734279524581,4.090000000000001,2181.0810810810813,32.37791964209913,98.55268097044413
39,1734279525581,4.090000000000001,2154.054054054054,32.37791964209913,98.51331594752648
40,1734279526582,4.090000000000001,2154.054054054054,32.37791964209913,98.47395092460881
41,1734279527581,4.090000000000001,2154.054054054054,32.37791964209913,98.43458590169116
42,1734279528581,4.090000000000001,2154.054054054054,32.37791964209913,98.39522087877351
43,1734279529581,4.090000000000001,2181.0810810810813,32.37791964209913,98.35536194088826
44,1734279530581,4.090000000000001,2181.0810810810813,32.37791964209913,98.315503003003
45,1734279531582,4.090000000000001,2154.054054054054,32.37791964209913,98.27613798008535
46,1734279532581,4.079999999999999,2154.054054054054,32.37791964209913,98.23677295716769
47,1734279533581,4.079999999999999,2154.054054054054,32.48762153553167,98.19740793425004
48,1734279534581,4.079999999999999,2154.054054054054,32.37791964209913,98.15804291133239
49,1734279535582,4.079999999999999,2154.054054054054,32.37791964209913,98.11867788841474
50,1734279536582,4.079999999999999,2154.054054054054,32.37791964209913,98.07931286549707
51,1734279537581,4.079999999999999,2154.054054054054,32.37791964209913,98.03994784257942
52,1734279538581,4.079999999999999,2154.054054054054,32.37791964209913,98.00058281966177
53,1734279539581,4.079999999999999,2154.054054054054,32.37791964209913,97.96121779674411
54,1734279540581,4.079999999999999,2154.054054054054,32.48762153553167,97.92185277382646
55,1734279541581,4.079999999999999,2181.0810810810813,32.37791964209913,97.8819938359412
56,1734279542582,4.069999999999999,2181.0810810810813,32.48762153553167,97.84213489805595
57,1734279543582,4.069999999999999,2181.0810810810813,32.37791964209913,97.8022759601707
58,1734279544583,4.069999999999999,2181.0810810810813,32.37791964209913,97.76241702228545
59,1734279545583,4.069999999999999,2154.054054054054,32.37791964209913,97.72305199936778
60,1734279546584,4.069999999999999,2154.054054054054,32.48762153553167,97.68368697645013
61,1734279547584,4.069999999999999,2154.054054054054,32.48762153553167,97.64432195353248
62,1734279548584,4.069999999999999,2154.054054054054,32.48762153553167,97.60495693061483
63,1734279549585,4.069999999999999,2154.054054054054,32.48762153553167,97.56559190769717
64,1734279550586,4.069999999999999,2154.054054054054,32.48762153553167,97.52622688477952
65,1734279551586,4.069999999999999,2154.054054054054,32.48762153553167,97.48686186186187
66,1734279552585,4.07,2154.054054054054,32.48762153553167,97.4474968389442
67,1734279553585,4.07,2154.054054054054,32.48762153553167,97.40813181602655
68,1734279554585,4.07,2154.054054054054,32.48762153553167,97.3687667931089
69,1734279555585,4.07,2181.0810810810813,32.48762153553167,97.32890785522365
70,1734279556586,4.07,2181.0810810810813,32.48762153553167,97.28904891733839
71,1734279557586,4.07,2154.054054054054,32.48762153553167,97.24968389442074
